,Unnamed: 0,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Categoria_Num,Verd_Fals
9448,9473,1,4,5,1,3,2,7,1,True
3998,4023,1,4,4,1,3,1,7,0,False
2403,2428,1,4,4,1,3,1,7,0,False
7477,7502,1,8,5,1,3,1,7,1,True
1517,1542,0,9,5,2,3,2,5,0,False
15281,15306,1,5,4,2,2,1,6,1,True
5777,5802,0,9,5,3,3,2,6,1,True
18856,18881,1,5,5,1,3,1,7,1,True
14920,14945,0,6,5,2,3,1,8,0,False
19474,19499,0,7,5,2,3,2,8,0,False
18525,18550,1,5,5,1,2,1,1,1,True
19231,19256,0,9,5,3,3,2,8,1,True
10691,10716,1,9,5,3,3,2,6,1,True
8625,8650,0,7,5,2,3,2,6,1,True
18661,18686,0,9,5,2,3,2,5,1,True
11815,11840,1,3,5,2,3,2,6,1,True
17419,17444,0,3,4,2,3,2,8,1,True
18356,18381,1,5,3,1,3,1,7,1,True
19722,19747,1,6,5,3,2,1,5,1,True
18296,18321,1,6,2,1,2,1,8,1,True
16560,16585,1,9,5,3,3,2,6,1,True
11233,11258,1,6,5,2,3,2,4,1,True
2418,2443,1,7,5,2,3,2,6,0,False
431,456,0,9,5,2,3,2,5,1,True
9961,9986,1,3,5,2,3,2,1,1,True
14787,14812,1,9,5,3,3,2,5,1,True
19866,19891,1,7,1,3,3,2,4,1,True
8727,8752,0,5,5,2,3,2,8,1,True
16652,16677,1,6,5,2,2,1,4,1,True
14855,14880,0,9,5,3,3,2,6,1,True
776,801,1,3,5,3,3,2,4,1,True
11728,11753,1,4,4,1,3,1,7,1,True
17157,17182,0,9,5,3,3,2,8,0,False
2903,2928,0,9,1,2,3,2,8,0,False
14293,14318,0,9,5,2,3,2,8,1,True
9827,9852,1,3,5,3,3,1,4,0,False
13802,13827,1,7,5,3,3,1,6,1,True
1826,1851,1,6,4,2,3,2,7,1,True
16694,16719,0,6,5,2,3,2,8,1,True
9215,9240,1,7,5,3,2,1,8,1,True
19748,19773,1,8,5,2,3,2,8,1,True
19567,19592,1,9,5,1,2,1,6,1,True
6425,6450,1,7,5,1,2,1,8,1,True
18781,18806,1,5,5,1,2,1,4,0,False
586,611,1,5,5,3,3,2,1,1,True
17696,17721,0,9,5,2,3,2,8,1,True
14331,14356,0,9,5,3,2,1,8,1,True
9338,9363,1,5,5,2,3,2,3,1,True
13610,13635,1,8,5,2,3,1,5,1,True
14354,14379,0,9,5,3,2,2,8,1,True
