,Id_respuesta,Id_empleado_nom35,Id_res_nom35,respuesta,date,Indice
1612,2473,62,46,1,2019-07-19,605
1613,2474,63,1,1,2019-07-19,606
1614,2475,63,2,0,2019-07-19,607
1615,2476,63,3,0,2019-07-19,608
1616,2477,63,4,1,2019-07-19,609
1617,2478,63,5,2,2019-07-19,610
1618,2479,63,6,1,2019-07-19,611
1619,2480,63,7,3,2019-07-19,612
1620,2481,63,8,3,2019-07-19,613
1621,2482,63,9,3,2019-07-19,614
1622,2483,63,10,1,2019-07-19,615
1623,2484,63,11,1,2019-07-19,616
1624,2485,63,12,0,2019-07-19,617
1625,2486,63,13,0,2019-07-19,618
1626,2487,63,14,0,2019-07-19,619
1627,2488,63,15,1,2019-07-19,620
1628,2489,63,16,0,2019-07-19,621
1629,2490,63,17,0,2019-07-19,622
1630,2491,63,18,1,2019-07-19,623
1631,2492,63,19,0,2019-07-19,624
1632,2493,63,20,3,2019-07-19,625
1633,2494,63,21,0,2019-07-19,626
1634,2495,63,22,0,2019-07-19,627
1635,2496,63,23,0,2019-07-19,628
1636,2497,63,24,0,2019-07-19,629
1637,2498,63,25,0,2019-07-19,630
1638,2499,63,26,0,2019-07-19,631
1639,2500,63,27,0,2019-07-19,632
1640,2501,63,28,1,2019-07-19,633
1641,2502,63,29,0,2019-07-19,634
1642,2503,63,30,1,2019-07-19,635
1643,2504,63,31,1,2019-07-19,636
1644,2505,63,32,0,2019-07-19,637
1645,2506,63,33,0,2019-07-19,638
1646,2507,63,34,1,2019-07-19,639
1647,2508,63,35,0,2019-07-19,640
1648,2509,63,36,0,2019-07-19,641
1649,2510,63,37,0,2019-07-19,642
1650,2511,63,38,0,2019-07-19,643
1651,2512,63,39,0,2019-07-19,644
1652,2513,63,40,0,2019-07-19,645
1653,2514,63,41,3,2019-07-19,646
1654,2515,63,42,3,2019-07-19,647
1655,2516,63,43,0,2019-07-19,648
1656,2517,64,1,1,2019-07-19,649
1657,2518,64,2,1,2019-07-19,650
1658,2519,64,3,0,2019-07-19,651
1659,2520,64,4,1,2019-07-19,652
1660,2521,64,5,1,2019-07-19,653
1661,2522,64,6,1,2019-07-19,654
1662,2523,64,7,4,2019-07-19,655
1663,2524,64,8,4,2019-07-19,656
1664,2525,64,9,4,2019-07-19,657
1665,2526,64,10,4,2019-07-19,658
1666,2527,64,11,3,2019-07-19,659
1667,2528,64,12,2,2019-07-19,660
1668,2529,64,13,2,2019-07-19,661
1669,2530,64,14,1,2019-07-19,662
1670,2531,64,15,1,2019-07-19,663
1671,2532,64,16,1,2019-07-19,664
1672,2533,64,17,1,2019-07-19,665
1673,2534,64,18,2,2019-07-19,666
1674,2535,64,19,2,2019-07-19,667
1675,2536,64,20,2,2019-07-19,668
1676,2537,64,21,1,2019-07-19,669
1677,2538,64,22,1,2019-07-19,670
1678,2539,64,23,2,2019-07-19,671
1679,2540,64,24,3,2019-07-19,672
1680,2541,64,25,1,2019-07-19,673
1681,2542,64,26,1,2019-07-19,674
1682,2543,64,27,3,2019-07-19,675
1683,2544,64,28,2,2019-07-19,676
1684,2545,64,29,2,2019-07-19,677
1685,2546,64,30,2,2019-07-19,678
1686,2547,64,31,2,2019-07-19,679
1687,2548,64,32,3,2019-07-19,680
1688,2549,64,33,1,2019-07-19,681
1689,2550,64,34,2,2019-07-19,682
