,Unnamed: 0,Genero,EstadoCivil,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Categoria_Num
3887,3887,Masculino,Casado,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,0
17309,17309,Masculino,Casado,Licenciatura,tiempodeterminado,confianza,diurno,NO,Menos6M,1
5916,5916,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1
19910,19910,Femenino,Soltero,Bachillerato,tiempoindeterminado,confianza,diurno,NO,6M1A,1
8824,8824,Femenino,Casado,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,1
16667,16667,Femenino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,0
19530,19530,Femenino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1
19593,19593,Femenino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,1
19276,19276,Femenino,Divorciado,TecnicoSuperior,honorarios,confianza,diurno,NO,20A24A,0
15467,15467,Masculino,Casado,Bachillerato,tiempoindeterminado,ninguno,mixto,NO,Menos6M,1
5567,5567,Masculino,Soltero,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,1A4A,1
4691,4691,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,0
6529,6529,Masculino,Soltero,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1
19639,19639,Masculino,Soltero,Preparatoria,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1
5045,5045,Masculino,Divorciado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1
2174,2174,Femenino,Soltero,Licenciatura,otro,ninguno,diurno,NO,6M1A,1
10301,10301,Masculino,Casado,TecnicoSuperior,tiempoindeterminado,ninguno,diurno,SI,1A4A,1
6181,6181,Masculino,UnionLibre,Preparatoria,otro,ninguno,diurno,SI,1A4A,1
