,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Resultado,Categoria,Categoria_Num
200,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,67.0,Medio,1
201,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,54.0,Medio,1
202,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,90.0,Muy Alto,1
203,Masculino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,Menos6M,0.0,Nulo,0
204,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,0.0,Nulo,0
205,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,48.0,Medio,1
206,Masculino,Licenciatura,honorarios,confianza,diurno,NO,20A24A,40.0,Bajo,0
207,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,10A14A,51.0,Medio,1
208,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,32.0,Bajo,0
209,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,81.0,Alto,1
210,Femenino,Primaria,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,45.0,Medio,1
211,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,0.0,Nulo,0
212,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,92.0,Muy Alto,1
213,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,92.0,Muy Alto,1
214,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,92.0,Muy Alto,1
215,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,92.0,Muy Alto,1
216,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,92.0,Muy Alto,1
217,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,92.0,Muy Alto,1
218,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,38.0,Bajo,0
219,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,Menos6M,54.0,Medio,1
220,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,39.0,Bajo,0
221,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,0.0,Nulo,0
222,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,15A19A,92.0,Muy Alto,1
223,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,15A19A,68.0,Medio,1
224,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,68.0,Medio,1
225,Femenino,Primaria,tiempoindeterminado,confianza,diurno,NO,Menos6M,0.0,Nulo,0
226,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,SI,5A9A,62.0,Medio,1
227,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,91.0,Muy Alto,1
228,Femenino,Bachillerato,tiempoindeterminado,confianza,diurno,SI,Menos6M,56.0,Medio,1
229,Femenino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,0.0,Nulo,0
230,Femenino,Licenciatura,tiempodeterminado,confianza,diurno,NO,1A4A,102.0,Muy Alto,1
231,Masculino,Bachillerato,otro,confianza,diurno,SI,Mas25A,30.0,Bajo,0
232,Femenino,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,6M1A,29.0,Bajo,0
233,Masculino,TecnicoSuperior,porObraoProyecto,ninguno,diurno,NO,1A4A,82.0,Alto,1
234,Femenino,Bachillerato,otro,confianza,diurno,SI,1A4A,41.0,Bajo,0
235,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,SI,1A4A,78.0,Alto,1
236,Masculino,Bachillerato,otro,confianza,diurno,NO,1A4A,62.0,Medio,1
237,Femenino,Licenciatura,tiempodeterminado,confianza,diurno,NO,1A4A,21.0,Bajo,0
238,Femenino,Bachillerato,otro,confianza,diurno,NO,Menos6M,46.0,Medio,1
239,Masculino,Bachillerato,otro,confianza,diurno,NO,Menos6M,68.0,Medio,1
240,Masculino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,1A4A,32.0,Bajo,0
241,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,66.0,Medio,1
242,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,73.0,Alto,1
243,Masculino,Maestria,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,44.0,Bajo,0
244,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,48.0,Medio,1
245,Masculino,Maestria,porObraoProyecto,sindicalizado,diurno,SI,1A4A,28.0,Bajo,0
246,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,20A24A,42.0,Bajo,0
247,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,5A9A,36.0,Bajo,0
248,Masculino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,Menos6M,25.0,Bajo,0
249,Masculino,TecnicoSuperior,tiempoindeterminado,ninguno,diurno,NO,Mas25A,50.0,Medio,1
250,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,Menos6M,59.0,Medio,1
251,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,Menos6M,45.0,Medio,1
252,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,5A9A,16.0,Nulo,0
253,Femenino,Maestria,tiempoindeterminado,ninguno,diurno,NO,1A4A,13.0,Nulo,0
254,Masculino,Licenciatura,honorarios,confianza,diurno,NO,1A4A,49.0,Medio,1
255,Masculino,Preparatoria,tiempodeterminado,ninguno,diurno,NO,20A24A,36.0,Bajo,0
